,time,latitude,longitude,depth,mag,magType,id,updated,place,type,horizontalError,depthError,locationSource,magSource
3,2015-12-31 22:22:17.350000+00:00,51.6783,-173.489,39.85,5.0,mb,us10004amq,2023-07-28T18:59:13.974Z,"75 km SE of Atka, Alaska",earthquake,5.4,6.2,us,us
4,2015-12-31 21:29:38.860000+00:00,-30.3584,-178.0074,27.28,5.4,mb,us10004ama,2016-11-10T22:06:40.783Z,"Kermadec Islands, New Zealand",earthquake,7.4,3.2,us,us
5,2015-12-31 10:56:58.120000+00:00,11.1535,-86.6205,20.0,5.8,mww,us10004akg,2022-08-02T02:06:10.895Z,"71 km S of Masachapa, Nicaragua",earthquake,6.0,1.8,us,us
6,2015-12-30 11:08:36+00:00,-21.9779,-174.4701,46.15,5.0,mb,us10004ae8,2016-11-10T22:06:32.298Z,Tonga,earthquake,8.5,5.4,us,us
7,2015-12-30 03:25:34.030000+00:00,14.137,-91.1098,81.05,5.0,mwr,us10004acp,2022-08-02T01:48:12.934Z,"8 km NW of La Gomera, Guatemala",earthquake,7.0,1.7,us,us
8,2015-12-30 02:58:36.450000+00:00,-34.4192,-109.3543,10.0,5.0,mb,us10004aci,2016-11-10T22:06:30.061Z,southern East Pacific Rise,earthquake,14.7,1.8,us,us
9,2015-12-29 02:54:06+00:00,6.862,-76.701,5.7,5.0,mwr,us10004a6p,2022-08-02T01:28:27.556Z,"18 km SE of Murindó, Colombia",earthquake,5.2,3.7,rsnc,rsnc
10,2015-12-29 01:51:41.550000+00:00,-6.2452,154.7595,30.0,5.8,mww,us10004a6n,2022-05-03T19:06:50.046Z,"80 km W of Panguna, Papua New Guinea",earthquake,7.5,1.8,us,us
11,2015-12-28 19:24:15.480000+00:00,-0.5089,-19.9606,10.0,5.1,mb,us10004a4l,2016-11-10T22:06:23.878Z,central Mid-Atlantic Ridge,earthquake,4.9,1.8,us,us
12,2015-12-28 16:26:04.940000+00:00,-3.7458,128.3613,50.74,5.2,mb,us10004a40,2022-08-02T01:19:56.182Z,"20 km ESE of Ambon, Indonesia",earthquake,6.6,5.4,us,us
